district,date,day_of_week,month,is_weekend,is_holiday,holiday_name,holiday_proximity,season,district_type,waste_kg
Kathmandu-Core,2024-01-01,0,1,0,0,,14,winter,commercial,4076.8
Baneshwor,2024-01-01,0,1,0,0,,14,winter,commercial,3026.9
Koteshwor,2024-01-01,0,1,0,0,,14,winter,commercial,3132.9
Balaju,2024-01-01,0,1,0,0,,14,winter,residential,2224.8
Maharajgunj,2024-01-01,0,1,0,0,,14,winter,residential,1662.0
Budhanilkantha,2024-01-01,0,1,0,0,,14,winter,suburban,997.2
Tokha,2024-01-01,0,1,0,0,,14,winter,suburban,1017.0
Chandragiri,2024-01-01,0,1,0,0,,14,winter,rural,560.2
Lalitpur,2024-01-01,0,1,0,0,,14,winter,commercial,3066.0
Satdobato,2024-01-01,0,1,0,0,,14,winter,commercial,2732.0
Kirtipur,2024-01-01,0,1,0,0,,14,winter,residential,1453.4
Imadol,2024-01-01,0,1,0,0,,14,winter,residential,1291.5
Lubhu,2024-01-01,0,1,0,0,,14,winter,suburban,791.8
Godawari,2024-01-01,0,1,0,0,,14,winter,rural,329.3
Dakshinkali,2024-01-01,0,1,0,0,,14,winter,rural,271.2
Bhaktapur,2024-01-01,0,1,0,0,,14,winter,commercial,2551.4
Madhyapur Thimi,2024-01-01,0,1,0,0,,14,winter,residential,1502.2
Suryabinayak,2024-01-01,0,1,0,0,,14,winter,suburban,976.0
Changunarayan,2024-01-01,0,1,0,0,,14,winter,rural,419.0
Nagarkot,2024-01-01,0,1,0,0,,14,winter,rural,248.5
Kathmandu-Core,2024-01-02,1,1,0,0,,13,winter,commercial,4762.3
Baneshwor,2024-01-02,1,1,0,0,,13,winter,commercial,3152.2
Koteshwor,2024-01-02,1,1,0,0,,13,winter,commercial,3084.8
Balaju,2024-01-02,1,1,0,0,,13,winter,residential,1641.5
Maharajgunj,2024-01-02,1,1,0,0,,13,winter,residential,1682.4
Budhanilkantha,2024-01-02,1,1,0,0,,13,winter,suburban,1094.4
Tokha,2024-01-02,1,1,0,0,,13,winter,suburban,775.7
Chandragiri,2024-01-02,1,1,0,0,,13,winter,rural,564.3
Lalitpur,2024-01-02,1,1,0,0,,13,winter,commercial,3173.5
Satdobato,2024-01-02,1,1,0,0,,13,winter,commercial,2605.5
Kirtipur,2024-01-02,1,1,0,0,,13,winter,residential,1503.0
Imadol,2024-01-02,1,1,0,0,,13,winter,residential,1760.1
Lubhu,2024-01-02,1,1,0,0,,13,winter,suburban,808.7
Godawari,2024-01-02,1,1,0,0,,13,winter,rural,392.9
Dakshinkali,2024-01-02,1,1,0,0,,13,winter,rural,395.5
